[{'F90': 'gfortran'}, {'F90FLAGS': '-O2'}, {'native': ''}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.589000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O2'}, {'native': ''}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.577000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O2'}, {'native': '-mtune=native'}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.602000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O2'}, {'native': '-mtune=native'}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.586000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O2'}, {'native': '-march=native'}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.575000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O2'}, {'native': '-march=native'}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.572000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O3'}, {'native': ''}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.490000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O3'}, {'native': ''}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.484000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O3'}, {'native': '-mtune=native'}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.385000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O3'}, {'native': '-mtune=native'}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.398000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O3'}, {'native': '-march=native'}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.361000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-O3'}, {'native': '-march=native'}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.364000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-Ofast'}, {'native': ''}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.475000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-Ofast'}, {'native': ''}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.483000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-Ofast'}, {'native': '-mtune=native'}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.392000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-Ofast'}, {'native': '-mtune=native'}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.385000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-Ofast'}, {'native': '-march=native'}, {'Inline limit': ''}, {'Problem Size': '128'}] True 0.376000E+00
[{'F90': 'gfortran'}, {'F90FLAGS': '-Ofast'}, {'native': '-march=native'}, {'Inline limit': '-finline-limit=5000'}, {'Problem Size': '128'}] True 0.367000E+00
